,fighter,country,age,weightClass,wins,loses,draws,tko wins,tko lose,subs win,subs lose,total
3864,Bruno Machado,BRAZIL,31.0,Featherweight,0,2,0,0,1,0,0,2
3867,Nick Pugh,USA,31.0,Featherweight,0,1,0,0,1,0,0,1
3878,Caiubi Ajala da Silva,BRAZIL,27.0,Featherweight,0,1,0,0,1,0,0,1
3892,Francisco Pinheiro Dos Santos Neto,BRAZIL,47.0,Featherweight,0,1,0,0,1,0,0,1
3902,Yoichi Kono,JAPAN,35.0,Featherweight,0,1,0,0,1,0,0,1
4003,John Donaldson,USA,25.0,Featherweight,1,1,0,0,1,0,0,2
4005,Li Gen,CHINA,30.0,Featherweight,0,1,0,0,1,0,0,1
4012,Krzysztof Klaczek,POLAND,29.0,Featherweight,0,2,0,0,1,0,0,2
4013,Mike Lullo,USA,38.0,Featherweight,0,2,0,0,1,0,0,2
4014,Diom Machado,BRAZIL,41.0,Featherweight,0,1,0,0,1,0,0,1
4016,Yoshifumi Nakamura,JAPAN,29.0,Featherweight,2,3,0,0,1,0,0,5
4028,Ruslan Belikov,UKRAINE,32.0,Flyweight,0,1,0,0,1,0,0,1
4055,Eloah Ribeiro,BRAZIL,32.0,Flyweight,0,1,0,0,1,0,0,1
4088,Sean Barnett,USA,27.0,Flyweight,0,1,0,0,1,0,0,1
4105,Jason Weiss,USA,39.0,Heavyweight,0,1,0,0,1,0,0,1
4258,Gabriel Tampu,GERMANY,38.0,Heavyweight,0,1,0,0,1,0,0,1
4314,Lionel Lanham,USA,37.0,Light Heavyweight,0,1,0,0,1,0,0,1
4458,Armando Herrera,USA,36.0,Light Heavyweight,0,1,0,0,1,0,0,1
4467,Valentino Petrescu,ENGLAND,37.0,Light Heavyweight,0,2,0,0,1,0,0,2
4469,Aleksandar Radosavljevic,SERBIA,34.0,Light Heavyweight,0,2,0,0,1,0,0,2
4488,Pawel Nakonieczny,NORWAY,35.0,Lightweight,0,1,0,0,1,0,0,1
4489,Arymarcel Santos,BRAZIL,34.0,Lightweight,0,2,0,0,1,0,0,2
4490,Brenton Taylor,USA,32.0,Lightweight,0,2,0,0,1,0,0,2
4493,Charles Anness,USA,34.0,Lightweight,0,1,0,0,1,0,0,1
4497,Matt Krayco,CANADA,27.0,Lightweight,0,1,0,0,1,0,0,1
4498,Slobodan Maksimovic,SERBIA,29.0,Lightweight,1,1,1,0,1,0,0,3
4499,Maxim Pashkov,UKRAINE,27.0,Lightweight,0,1,0,0,1,0,0,1
4534,Frankledson Costa,BRAZIL,28.0,Lightweight,0,1,0,0,1,0,0,1
4545,Tim Kunkel,USA,25.0,Lightweight,0,1,0,0,1,0,0,1
4776,Tanner Cowan,USA,36.0,Lightweight,0,1,0,0,1,0,0,1
4808,Jimmy Scully,USA,30.0,Lightweight,0,1,0,0,1,0,0,1
4832,Tsukasa Kawaoka,JAPAN,30.0,Middleweight,0,1,0,0,1,0,0,1
4840,Justin Polendey,USA,31.0,Middleweight,0,1,0,0,1,0,0,1
4843,Alexandre Oliveira,BRAZIL,41.0,Middleweight,0,1,0,0,1,0,0,1
