title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Carlston Lindsay Harris,GUYANA,,,30,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Cory MacDonald,,,,,Welterweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Tonci Perusko,CROATIA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Daniel Skibinski,POLAND,,,27,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Vasiliy Zubkov,RUSSIA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jason Fairn,,,,,,,0,0,0,0 - 0,0,0,0 - 0,0,0
Wenbo Liu,CHINA,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dick Vrij,HOLLAND,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Casey Dyer,,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Nate Kiser,USA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Aung La N Sang,,,,33,Light Heavyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Jun Kitagawa,,,,44,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
