title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Mike Lee,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Frank Lester,,Orthodox,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ederson Macedo,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gavin Murie,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Edward Smith,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shawn Snow,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Adam Steele,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Adam Thomas,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Roy Timmons,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mike Vaughn,,,,,Welterweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Amber Tackett,,,,,Women's Bantamweight,,1,2,0,0 - 0,0,0,0 - 2,0,2
Katrine Alendal,,,,,Women's Bantamweight,,1,3,0,0 - 0,0,0,0 - 2,0,2
Karina Taylor,,,,,Women's Bantamweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Diana Belbita,ROMANIA,,,,Women's Flyweight,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jessica Middleton,,,,30,Women's Flyweight,,2,3,0,0 - 0,0,0,0 - 2,0,2
Emily Kagan,USA,,,36,Women's Strawweight,,3,3,0,0 - 0,0,0,0 - 2,0,2
Tiffany Van Soest,USA,,,29,Women's Strawweight,,1,2,0,0 - 0,0,0,0 - 2,0,2
Emily Whitmire,USA,,,27,Women's Strawweight,Xtreme Couture,2,2,0,0 - 0,0,0,0 - 2,0,2
Cory LaPlant,,,,,,Team Balance,0,2,0,0 - 0,0,0,0 - 2,0,2
Shamil Abdulkhalikov,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ahsan Abdullah,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Muhammad Abdullah,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Donte Adams,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Martin Akhtar,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Tadas Aleksonis,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ramzan Algeriev,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Warren Allison,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Sarah Alpar,,,,,,,1,3,0,0 - 0,0,0,0 - 2,0,2
Noble Ampoc,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jesse Anderson,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Giuseppe Aramini,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Benjamin Arroyo,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Suhrob Aydarbekov,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Myron Baker,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Stenio Barbosa,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Randy Barroso,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Monique Bastos,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Burenzorig Batmunkh,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Benjamin Baudrier,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Raul Bellereza,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Aires Benrois,,,,,,,0,4,0,0 - 0,0,0,0 - 2,0,2
Manuel Bilic,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Aaron Birn,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Danny Black,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shah Bobonis,,,,,,,1,4,0,0 - 0,0,0,0 - 2,0,2
Lukasz Borowski,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jamie Bowar,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Roy Boykin,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Alexandre Nunes Brandao,,,,,,,0,6,0,0 - 0,0,0,0 - 2,0,2
Tyler Brooks,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jesse-Bjorn Buckler,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gilbert Burgos,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Micky Burns,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Petr Cajnak,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Adam Calderon,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Eduardo Camilo,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Antonio Carlos,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ashton Castro,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jordan Chandler,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Will Childs,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tim Close,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Chelsea Colarelli,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tavares Collins,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Antonuce Conceicao,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Erico Correia,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Chris Correira,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Sergio Daniel Cossio Dominguez,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Melvin Costa,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Will Courchaine,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Hayden Critchfield,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Michael Daboville,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tamirlan Dadaev,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Angela Danzig,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Steve Dau,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jeremiah Davenport,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mahalia Rocha de Morais,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ryan Debelak,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rommel Del-Is,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Morgane Delagnau,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Juan Delgado,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Matt Dempsey,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Robert Devane,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Brice Dian,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Anatoliy Didenko,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Paulo Dinis,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Mike Dizak,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Kevin Donnelly,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Marcio Alex dos Santos Vales,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jason Drake,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Marco Dritty,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Abudokar Dukarey,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rasul Ediev,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Chandra Engel,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Francisco Espinoza,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Murilo Faraco,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tel Faulkner,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Darrell Fenner,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jon Ferguson,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Edilson Florencio,BRAZIL,,,,,,0,4,0,0 - 0,0,0,0 - 2,0,2
Antonio Flores,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Justin Foster,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Marcel Fouda,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Claudiere Freitas,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Sam Fulton,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ivan Galaz,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Anthony Garcia,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Emilio Gonzales,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Jason Graves,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jeff Green,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
David Haagsma,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tom Haddock,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rastislav Hanulay,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Miguel Haro,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Harvey Harra,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Nate Harris,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jarome Hatch,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shawn Hayes,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Stefan Heber,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Matt Hershberger,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Courtney Himes,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Nate Hoffman,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Terry House Jr.,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Casey Hudson,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Bastien Huveneers,,,,,,,1,2,0,0 - 0,0,0,0 - 2,0,2
Ismail Irashanov,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Alexandre Jacare,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Zach Jenkins,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Sy Jewett,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Seo Ye Jung,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Yury Kalmynin,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Karen Karapetyan,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Zach Kellso,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Young Jun Kim,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Scott Kinzebach,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Pavel Kokarev,RUSSIA,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gary Kono,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
James Kouame,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Kirill Krikunov,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Rouven Kurath,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Hyo Kyung Song,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rafles la Rose,,,,,,,0,2,1,0 - 0,0,0,0 - 2,0,2
Kerry Lattimer,,,,,,,1,2,0,0 - 0,0,0,0 - 2,0,2
Greg Letch,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gary Lewis,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tao Li,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
David Lopez,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mikey Lovato,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jordan Mackin,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Darryl Madison,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shantaram Maharaj,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Josh Maish,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Robert Malphrus,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Patrick Manicad,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mike Marrello,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Yancey Martin,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gleidson Alves Martins,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jeremy Marts,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Paval Masalski,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gennadiy Matsigora,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Neil McGuigan,,,,,,,0,2,1,0 - 0,0,0,0 - 2,0,2
Shakir McKillip,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Renzo Mendez,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Josh Mercado,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Kevin Michel,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Ian Millan,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mike Miller,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Darius Minkevicius,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shaine Moffitt,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Noelia Molina,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tony Moran,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rafael Moreira,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Bruno Belabela Mukulu,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jason Muldoon,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Chris Myers,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jeremy Myers,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Sean Neeley,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tunde Odomusu,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Leslee Ojugbana,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Lukas Olejnik,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Hildred Oliney,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Vadim Orischak,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Cody Ortiz,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Anjel Osiris,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mel Ott,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Justin Overton,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
D'Juan Owens,,,,,,,1,6,0,0 - 0,0,0,0 - 2,0,2
Leandro Paes,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Kari Paivinen,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Arthur Parker,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Davey Parker,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Matthew Perry,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Denny Peters,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jens Petersen,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Anastasia Plisenkova,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Serghei Popa,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Kody Powell,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rodrigo Praia,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Kyle Prepolec,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Brandon Priest,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rod Pucak,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Egon Racz,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ludmila Radko,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Koa Ramos,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jody Lynn Reicher,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jamie Reynolds,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Johnnie Roades,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Colton Robertson,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Chad Rockwhite,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Francisco Rodrigues,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Cindy Romero,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Gustavo Rosa,BRAZIL,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ruben Rosas,USA,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Cole Rose,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Kate Roy,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Bartosz Rozycki,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mikhail Rutskiv,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Asako Saioka,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Derrick San Miguel,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Vadim Sandulitskiy,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Deyvison Santos,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Ryan Schieding,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Andy Selvig,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Bruce Sessman,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Cedric Severac,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Zoie Shreiweis,,,,,,,1,2,0,0 - 0,0,0,0 - 2,0,2
Zuli Silawanto,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Karine Silva,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Tomaz Simonic,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Louis Sims,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Anna Smirnova,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Matthew Smith,,,,,,,1,2,0,0 - 0,0,0,0 - 2,0,2
Samantha Smith,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Taylor Solomon,,,,,,,0,4,0,0 - 0,0,0,0 - 2,0,2
Yvan Sorel,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Nicolas Specq,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jose Sulsona,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
David Suruy,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Trevor Suter,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Mike Taylor,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Bret Thomas,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Eric Thompson,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
David Tkeshelashvili,,,,,,,0,5,0,0 - 0,0,0,0 - 2,0,2
Daniel Tobolik,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Troy Tolbert,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Adam Torres,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Juan Manuel Torres,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Hunter Tucker,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Semen Tyrlya,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shavkat Urakov,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Aleksandar Vickovic,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Joe Vidales,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
David Vigil,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Avery Vilche,,,,,,,0,4,0,0 - 0,0,0,0 - 2,0,2
David Villescaz,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Victor Vincelette,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Alexander Voitenko,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rex Wa-O,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Szymon Walaszek,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Alfred Walker,,,,,,,1,2,0,0 - 0,0,0,0 - 2,0,2
Lenn Walker,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Shelby Walker,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Juliano Wandalen,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Idris Wasi,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Steve Watson,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jamie Webb,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Marlin Weikel,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Blazej Wojcik,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Sal Woods,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jason Wright,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Javon Wright,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
German Yakubov,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Miyu Yamamoto,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Darius Yancy,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Vladena Yavorskaya,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Chisa Yonezawa,,,,,,,0,3,0,0 - 0,0,0,0 - 2,0,2
Emerick Youmbi,,,,,,,0,4,0,0 - 0,0,0,0 - 2,0,2
Mark Young,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Charlie Zac,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Igor Zadernovsky,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Svetoslav Zahariev,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Jason Zazelenchuk,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Elsie Zwicker,,,,,,,0,2,0,0 - 0,0,0,0 - 2,0,2
Rob McCrum,,,,,Bantamweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Theo Desjardin,USA,,,,,,0,3,0,0 - 1,0,1,0 - 2,0,2
Josh Buck,,,,,,,0,3,0,0 - 1,0,1,0 - 2,0,2
Cody Land,,,,,Bantamweight,,0,5,0,0 - 1,0,1,0 - 2,0,2
Nadia Van Der Wel,,,,31,Flyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Sergio Soares,BRAZIL,,,,Lightweight,,0,4,0,0 - 1,0,1,0 - 2,0,2
Brandon Anderson,,,,,Lightweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Yuriy Kelekhsaev,,,,,Welterweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Rafael Carvalho,BRAZIL,,,,Welterweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Yoshiyuki Katahira,,,,29,Welterweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Tyago Moreira,,,,35,Welterweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Corey Salter,USA,,,46,,,0,3,0,0 - 1,0,1,0 - 2,0,2
Leon Davis,USA,,,,Lightweight,,1,3,0,0 - 1,0,1,0 - 2,0,2
Lamont Lister,USA,,,39,Middleweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Brett Roller,,,,,Bantamweight,,0,4,0,0 - 1,0,1,0 - 2,0,2
John Hosman,,Southpaw,,,Bantamweight,,0,5,0,0 - 1,0,1,0 - 2,0,2
Sarah Oriza,,,,,Bantamweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Opponent TBA,,,,,Bantamweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Noah Thomas,,Orthodox,,,Bantamweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Teruyuki Matsumoto,,,,,Bantamweight,,0,4,0,0 - 1,0,1,0 - 2,0,2
Joshua Montoya,USA,,,28,Bantamweight,,2,4,0,0 - 1,0,1,0 - 2,0,2
Masahiro Oishi,,,,,Bantamweight,,1,3,0,0 - 1,0,1,0 - 2,0,2
James Porter,,,,25,Bantamweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Julian Samaniego,USA,,,,Bantamweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Yoko Takahashi,,,,45,Catch Weight,,0,5,0,0 - 1,0,1,0 - 2,0,2
Alvino Jose Torres,BRAZIL,,,,Catchweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Zakk Smith,USA,,,28,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Elton Lima,BRAZIL,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Mitch Jackson,,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Ed Meyers,,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Doug Sonier,,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Micah Washington,,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Ramon Barber,,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Terrell Hobbs,USA,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Bobby Reardanz,USA,,,,Featherweight,,0,4,0,0 - 1,0,1,0 - 2,0,2
Atsuhiro Tsuboi,,,,,Featherweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Billy Kidd,,,,,Flyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Tammie Schneider,,,,,Flyweight,,0,4,0,0 - 1,0,1,0 - 2,0,2
Nobert Piskorski,POLAND,,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Atte Backman,,,,,Heavyweight,,1,3,0,0 - 1,0,1,0 - 2,0,2
Braden Bice,,,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Rashad Brooks,,,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Will Elworthy,,,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Yusuke Imamura,,Orthodox,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Karl Kelly,,,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
Mitsuyoshi Nakai,,,,,Heavyweight,,0,3,0,0 - 1,0,1,0 - 2,0,2
